StimulusID,StimulusType,List,SurveyList,TrialOrder,TrialType,FileName,PictureWidth,PictureHeight,ExposureCondition,ItemID,ExperimentID,Stimulus
SOCALIGN.L1.SL1.E.ITEM00.T1.NATACC.GOV.LEFT.DO,ITEM,1,1,1,EXPOSURE,NativeAccented_govspend_DO_left,,,NATACC.GOV.LEFT.DO,,SOCALIGN.1,NativeAccented_govspend_DO_left
SOCALIGN.L1.SL1.T.ITEM05.T2.NATACC.GOV.LEFT.DO,ITEM,1,1,2,TEST,i_05.jpg,304,322,NATACC.GOV.LEFT.DO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L1.SL1.T.ITEM06.T3.NATACC.GOV.LEFT.DO,FILLER,1,1,3,TEST,f_06.jpg,312,256,NATACC.GOV.LEFT.DO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L1.SL1.T.ITEM08.T4.NATACC.GOV.LEFT.DO,FILLER,1,1,4,TEST,f_08.jpg,350,274,NATACC.GOV.LEFT.DO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L1.SL1.T.ITEM07.T5.NATACC.GOV.LEFT.DO,ITEM,1,1,5,TEST,i_07.jpg,446,357,NATACC.GOV.LEFT.DO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L1.SL1.T.ITEM23.T6.NATACC.GOV.LEFT.DO,FILLER,1,1,6,TEST,f_23.jpg,264,351,NATACC.GOV.LEFT.DO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L1.SL1.T.ITEM22.T7.NATACC.GOV.LEFT.DO,FILLER,1,1,7,TEST,f_22.jpg,368,257,NATACC.GOV.LEFT.DO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L1.SL1.T.ITEM17.T8.NATACC.GOV.LEFT.DO,ITEM,1,1,8,TEST,i_17.jpg,321,308,NATACC.GOV.LEFT.DO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L1.SL1.T.ITEM07.T9.NATACC.GOV.LEFT.DO,FILLER,1,1,9,TEST,f_07.jpg,429,321,NATACC.GOV.LEFT.DO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L1.SL1.T.ITEM15.T10.NATACC.GOV.LEFT.DO,FILLER,1,1,10,TEST,f_15.jpg,419,361,NATACC.GOV.LEFT.DO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L1.SL1.T.ITEM04.T11.NATACC.GOV.LEFT.DO,ITEM,1,1,11,TEST,i_04.jpg,330,348,NATACC.GOV.LEFT.DO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L2.SL1.E.ITEM00.T1.NATACC.GOV.RIGHT.DO,ITEM,2,1,1,EXPOSURE,NativeAccented_govspend_DO_right,,,NATACC.GOV.RIGHT.DO,,SOCALIGN.1,NativeAccented_govspend_DO_right
SOCALIGN.L2.SL1.T.ITEM05.T2.NATACC.GOV.RIGHT.DO,ITEM,2,1,2,TEST,i_05.jpg,304,322,NATACC.GOV.RIGHT.DO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L2.SL1.T.ITEM06.T3.NATACC.GOV.RIGHT.DO,FILLER,2,1,3,TEST,f_06.jpg,312,256,NATACC.GOV.RIGHT.DO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L2.SL1.T.ITEM08.T4.NATACC.GOV.RIGHT.DO,FILLER,2,1,4,TEST,f_08.jpg,350,274,NATACC.GOV.RIGHT.DO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L2.SL1.T.ITEM07.T5.NATACC.GOV.RIGHT.DO,ITEM,2,1,5,TEST,i_07.jpg,446,357,NATACC.GOV.RIGHT.DO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L2.SL1.T.ITEM23.T6.NATACC.GOV.RIGHT.DO,FILLER,2,1,6,TEST,f_23.jpg,264,351,NATACC.GOV.RIGHT.DO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L2.SL1.T.ITEM22.T7.NATACC.GOV.RIGHT.DO,FILLER,2,1,7,TEST,f_22.jpg,368,257,NATACC.GOV.RIGHT.DO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L2.SL1.T.ITEM17.T8.NATACC.GOV.RIGHT.DO,ITEM,2,1,8,TEST,i_17.jpg,321,308,NATACC.GOV.RIGHT.DO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L2.SL1.T.ITEM07.T9.NATACC.GOV.RIGHT.DO,FILLER,2,1,9,TEST,f_07.jpg,429,321,NATACC.GOV.RIGHT.DO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L2.SL1.T.ITEM15.T10.NATACC.GOV.RIGHT.DO,FILLER,2,1,10,TEST,f_15.jpg,419,361,NATACC.GOV.RIGHT.DO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L2.SL1.T.ITEM04.T11.NATACC.GOV.RIGHT.DO,ITEM,2,1,11,TEST,i_04.jpg,330,348,NATACC.GOV.RIGHT.DO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L3.SL1.E.ITEM00.T1.NATACC.GOV.LEFT.PO,ITEM,3,1,1,EXPOSURE,NativeAccented_govspend_PO_left,,,NATACC.GOV.LEFT.PO,,SOCALIGN.1,NativeAccented_govspend_PO_left
SOCALIGN.L3.SL1.T.ITEM05.T2.NATACC.GOV.LEFT.PO,ITEM,3,1,2,TEST,i_05.jpg,304,322,NATACC.GOV.LEFT.PO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L3.SL1.T.ITEM06.T3.NATACC.GOV.LEFT.PO,FILLER,3,1,3,TEST,f_06.jpg,312,256,NATACC.GOV.LEFT.PO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L3.SL1.T.ITEM08.T4.NATACC.GOV.LEFT.PO,FILLER,3,1,4,TEST,f_08.jpg,350,274,NATACC.GOV.LEFT.PO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L3.SL1.T.ITEM07.T5.NATACC.GOV.LEFT.PO,ITEM,3,1,5,TEST,i_07.jpg,446,357,NATACC.GOV.LEFT.PO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L3.SL1.T.ITEM23.T6.NATACC.GOV.LEFT.PO,FILLER,3,1,6,TEST,f_23.jpg,264,351,NATACC.GOV.LEFT.PO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L3.SL1.T.ITEM22.T7.NATACC.GOV.LEFT.PO,FILLER,3,1,7,TEST,f_22.jpg,368,257,NATACC.GOV.LEFT.PO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L3.SL1.T.ITEM17.T8.NATACC.GOV.LEFT.PO,ITEM,3,1,8,TEST,i_17.jpg,321,308,NATACC.GOV.LEFT.PO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L3.SL1.T.ITEM07.T9.NATACC.GOV.LEFT.PO,FILLER,3,1,9,TEST,f_07.jpg,429,321,NATACC.GOV.LEFT.PO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L3.SL1.T.ITEM15.T10.NATACC.GOV.LEFT.PO,FILLER,3,1,10,TEST,f_15.jpg,419,361,NATACC.GOV.LEFT.PO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L3.SL1.T.ITEM04.T11.NATACC.GOV.LEFT.PO,ITEM,3,1,11,TEST,i_04.jpg,330,348,NATACC.GOV.LEFT.PO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L4.SL1.E.ITEM00.T1.NATACC.GOV.RIGHT.PO,ITEM,4,1,1,EXPOSURE,NativeAccented_govspend_PO_right,,,NATACC.GOV.RIGHT.PO,,SOCALIGN.1,NativeAccented_govspend_PO_right
SOCALIGN.L4.SL1.T.ITEM05.T2.NATACC.GOV.RIGHT.PO,ITEM,4,1,2,TEST,i_05.jpg,304,322,NATACC.GOV.RIGHT.PO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L4.SL1.T.ITEM06.T3.NATACC.GOV.RIGHT.PO,FILLER,4,1,3,TEST,f_06.jpg,312,256,NATACC.GOV.RIGHT.PO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L4.SL1.T.ITEM08.T4.NATACC.GOV.RIGHT.PO,FILLER,4,1,4,TEST,f_08.jpg,350,274,NATACC.GOV.RIGHT.PO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L4.SL1.T.ITEM07.T5.NATACC.GOV.RIGHT.PO,ITEM,4,1,5,TEST,i_07.jpg,446,357,NATACC.GOV.RIGHT.PO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L4.SL1.T.ITEM23.T6.NATACC.GOV.RIGHT.PO,FILLER,4,1,6,TEST,f_23.jpg,264,351,NATACC.GOV.RIGHT.PO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L4.SL1.T.ITEM22.T7.NATACC.GOV.RIGHT.PO,FILLER,4,1,7,TEST,f_22.jpg,368,257,NATACC.GOV.RIGHT.PO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L4.SL1.T.ITEM17.T8.NATACC.GOV.RIGHT.PO,ITEM,4,1,8,TEST,i_17.jpg,321,308,NATACC.GOV.RIGHT.PO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L4.SL1.T.ITEM07.T9.NATACC.GOV.RIGHT.PO,FILLER,4,1,9,TEST,f_07.jpg,429,321,NATACC.GOV.RIGHT.PO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L4.SL1.T.ITEM15.T10.NATACC.GOV.RIGHT.PO,FILLER,4,1,10,TEST,f_15.jpg,419,361,NATACC.GOV.RIGHT.PO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L4.SL1.T.ITEM04.T11.NATACC.GOV.RIGHT.PO,ITEM,4,1,11,TEST,i_04.jpg,330,348,NATACC.GOV.RIGHT.PO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L5.SL1.E.ITEM00.T1.NONNAT.GOV.LEFT.DO,ITEM,5,1,1,EXPOSURE,nonNative_govspend_DO_left,,,NONNAT.GOV.LEFT.DO,,SOCALIGN.1,nonNative_govspend_DO_left
SOCALIGN.L5.SL1.T.ITEM05.T2.NONNAT.GOV.LEFT.DO,ITEM,5,1,2,TEST,i_05.jpg,304,322,NONNAT.GOV.LEFT.DO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L5.SL1.T.ITEM06.T3.NONNAT.GOV.LEFT.DO,FILLER,5,1,3,TEST,f_06.jpg,312,256,NONNAT.GOV.LEFT.DO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L5.SL1.T.ITEM08.T4.NONNAT.GOV.LEFT.DO,FILLER,5,1,4,TEST,f_08.jpg,350,274,NONNAT.GOV.LEFT.DO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L5.SL1.T.ITEM07.T5.NONNAT.GOV.LEFT.DO,ITEM,5,1,5,TEST,i_07.jpg,446,357,NONNAT.GOV.LEFT.DO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L5.SL1.T.ITEM23.T6.NONNAT.GOV.LEFT.DO,FILLER,5,1,6,TEST,f_23.jpg,264,351,NONNAT.GOV.LEFT.DO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L5.SL1.T.ITEM22.T7.NONNAT.GOV.LEFT.DO,FILLER,5,1,7,TEST,f_22.jpg,368,257,NONNAT.GOV.LEFT.DO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L5.SL1.T.ITEM17.T8.NONNAT.GOV.LEFT.DO,ITEM,5,1,8,TEST,i_17.jpg,321,308,NONNAT.GOV.LEFT.DO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L5.SL1.T.ITEM07.T9.NONNAT.GOV.LEFT.DO,FILLER,5,1,9,TEST,f_07.jpg,429,321,NONNAT.GOV.LEFT.DO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L5.SL1.T.ITEM15.T10.NONNAT.GOV.LEFT.DO,FILLER,5,1,10,TEST,f_15.jpg,419,361,NONNAT.GOV.LEFT.DO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L5.SL1.T.ITEM04.T11.NONNAT.GOV.LEFT.DO,ITEM,5,1,11,TEST,i_04.jpg,330,348,NONNAT.GOV.LEFT.DO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L6.SL1.E.ITEM00.T1.NONNAT.GOV.RIGHT.DO,ITEM,6,1,1,EXPOSURE,nonNative_govspend_DO_right,,,NONNAT.GOV.RIGHT.DO,,SOCALIGN.1,nonNative_govspend_DO_right
SOCALIGN.L6.SL1.T.ITEM05.T2.NONNAT.GOV.RIGHT.DO,ITEM,6,1,2,TEST,i_05.jpg,304,322,NONNAT.GOV.RIGHT.DO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L6.SL1.T.ITEM06.T3.NONNAT.GOV.RIGHT.DO,FILLER,6,1,3,TEST,f_06.jpg,312,256,NONNAT.GOV.RIGHT.DO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L6.SL1.T.ITEM08.T4.NONNAT.GOV.RIGHT.DO,FILLER,6,1,4,TEST,f_08.jpg,350,274,NONNAT.GOV.RIGHT.DO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L6.SL1.T.ITEM07.T5.NONNAT.GOV.RIGHT.DO,ITEM,6,1,5,TEST,i_07.jpg,446,357,NONNAT.GOV.RIGHT.DO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L6.SL1.T.ITEM23.T6.NONNAT.GOV.RIGHT.DO,FILLER,6,1,6,TEST,f_23.jpg,264,351,NONNAT.GOV.RIGHT.DO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L6.SL1.T.ITEM22.T7.NONNAT.GOV.RIGHT.DO,FILLER,6,1,7,TEST,f_22.jpg,368,257,NONNAT.GOV.RIGHT.DO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L6.SL1.T.ITEM17.T8.NONNAT.GOV.RIGHT.DO,ITEM,6,1,8,TEST,i_17.jpg,321,308,NONNAT.GOV.RIGHT.DO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L6.SL1.T.ITEM07.T9.NONNAT.GOV.RIGHT.DO,FILLER,6,1,9,TEST,f_07.jpg,429,321,NONNAT.GOV.RIGHT.DO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L6.SL1.T.ITEM15.T10.NONNAT.GOV.RIGHT.DO,FILLER,6,1,10,TEST,f_15.jpg,419,361,NONNAT.GOV.RIGHT.DO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L6.SL1.T.ITEM04.T11.NONNAT.GOV.RIGHT.DO,ITEM,6,1,11,TEST,i_04.jpg,330,348,NONNAT.GOV.RIGHT.DO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L7.SL1.E.ITEM00.T1.NONNAT.GOV.LEFT.PO,ITEM,7,1,1,EXPOSURE,nonNative_govspend_PO_left,,,NONNAT.GOV.LEFT.PO,,SOCALIGN.1,nonNative_govspend_PO_left
SOCALIGN.L7.SL1.T.ITEM05.T2.NONNAT.GOV.LEFT.PO,ITEM,7,1,2,TEST,i_05.jpg,304,322,NONNAT.GOV.LEFT.PO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L7.SL1.T.ITEM06.T3.NONNAT.GOV.LEFT.PO,FILLER,7,1,3,TEST,f_06.jpg,312,256,NONNAT.GOV.LEFT.PO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L7.SL1.T.ITEM08.T4.NONNAT.GOV.LEFT.PO,FILLER,7,1,4,TEST,f_08.jpg,350,274,NONNAT.GOV.LEFT.PO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L7.SL1.T.ITEM07.T5.NONNAT.GOV.LEFT.PO,ITEM,7,1,5,TEST,i_07.jpg,446,357,NONNAT.GOV.LEFT.PO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L7.SL1.T.ITEM23.T6.NONNAT.GOV.LEFT.PO,FILLER,7,1,6,TEST,f_23.jpg,264,351,NONNAT.GOV.LEFT.PO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L7.SL1.T.ITEM22.T7.NONNAT.GOV.LEFT.PO,FILLER,7,1,7,TEST,f_22.jpg,368,257,NONNAT.GOV.LEFT.PO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L7.SL1.T.ITEM17.T8.NONNAT.GOV.LEFT.PO,ITEM,7,1,8,TEST,i_17.jpg,321,308,NONNAT.GOV.LEFT.PO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L7.SL1.T.ITEM07.T9.NONNAT.GOV.LEFT.PO,FILLER,7,1,9,TEST,f_07.jpg,429,321,NONNAT.GOV.LEFT.PO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L7.SL1.T.ITEM15.T10.NONNAT.GOV.LEFT.PO,FILLER,7,1,10,TEST,f_15.jpg,419,361,NONNAT.GOV.LEFT.PO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L7.SL1.T.ITEM04.T11.NONNAT.GOV.LEFT.PO,ITEM,7,1,11,TEST,i_04.jpg,330,348,NONNAT.GOV.LEFT.PO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L8.SL1.E.ITEM00.T1.NONNAT.GOV.RIGHT.PO,ITEM,8,1,1,EXPOSURE,nonNative_govspend_PO_right,,,NONNAT.GOV.RIGHT.PO,,SOCALIGN.1,nonNative_govspend_PO_right
SOCALIGN.L8.SL1.T.ITEM05.T2.NONNAT.GOV.RIGHT.PO,ITEM,8,1,2,TEST,i_05.jpg,304,322,NONNAT.GOV.RIGHT.PO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L8.SL1.T.ITEM06.T3.NONNAT.GOV.RIGHT.PO,FILLER,8,1,3,TEST,f_06.jpg,312,256,NONNAT.GOV.RIGHT.PO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L8.SL1.T.ITEM08.T4.NONNAT.GOV.RIGHT.PO,FILLER,8,1,4,TEST,f_08.jpg,350,274,NONNAT.GOV.RIGHT.PO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L8.SL1.T.ITEM07.T5.NONNAT.GOV.RIGHT.PO,ITEM,8,1,5,TEST,i_07.jpg,446,357,NONNAT.GOV.RIGHT.PO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L8.SL1.T.ITEM23.T6.NONNAT.GOV.RIGHT.PO,FILLER,8,1,6,TEST,f_23.jpg,264,351,NONNAT.GOV.RIGHT.PO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L8.SL1.T.ITEM22.T7.NONNAT.GOV.RIGHT.PO,FILLER,8,1,7,TEST,f_22.jpg,368,257,NONNAT.GOV.RIGHT.PO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L8.SL1.T.ITEM17.T8.NONNAT.GOV.RIGHT.PO,ITEM,8,1,8,TEST,i_17.jpg,321,308,NONNAT.GOV.RIGHT.PO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L8.SL1.T.ITEM07.T9.NONNAT.GOV.RIGHT.PO,FILLER,8,1,9,TEST,f_07.jpg,429,321,NONNAT.GOV.RIGHT.PO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L8.SL1.T.ITEM15.T10.NONNAT.GOV.RIGHT.PO,FILLER,8,1,10,TEST,f_15.jpg,419,361,NONNAT.GOV.RIGHT.PO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L8.SL1.T.ITEM04.T11.NONNAT.GOV.RIGHT.PO,ITEM,8,1,11,TEST,i_04.jpg,330,348,NONNAT.GOV.RIGHT.PO,PIC.ITEM.04,SOCALIGN.1,i_04
SOCALIGN.L9.SL1.E.ITEM00.T1.STAND.GOV.LEFT.DO,ITEM,9,1,1,EXPOSURE,StandardAccent_govspend_DO_left,,,STAND.GOV.LEFT.DO,,SOCALIGN.1,StandardAccent_govspend_DO_left
SOCALIGN.L9.SL1.T.ITEM05.T2.STAND.GOV.LEFT.DO,ITEM,9,1,2,TEST,i_05.jpg,304,322,STAND.GOV.LEFT.DO,PIC.ITEM.05,SOCALIGN.1,i_05
SOCALIGN.L9.SL1.T.ITEM06.T3.STAND.GOV.LEFT.DO,FILLER,9,1,3,TEST,f_06.jpg,312,256,STAND.GOV.LEFT.DO,PIC.FILLER.06,SOCALIGN.1,f_06
SOCALIGN.L9.SL1.T.ITEM08.T4.STAND.GOV.LEFT.DO,FILLER,9,1,4,TEST,f_08.jpg,350,274,STAND.GOV.LEFT.DO,PIC.FILLER.08,SOCALIGN.1,f_08
SOCALIGN.L9.SL1.T.ITEM07.T5.STAND.GOV.LEFT.DO,ITEM,9,1,5,TEST,i_07.jpg,446,357,STAND.GOV.LEFT.DO,PIC.ITEM.07,SOCALIGN.1,i_07
SOCALIGN.L9.SL1.T.ITEM23.T6.STAND.GOV.LEFT.DO,FILLER,9,1,6,TEST,f_23.jpg,264,351,STAND.GOV.LEFT.DO,PIC.FILLER.23,SOCALIGN.1,f_23
SOCALIGN.L9.SL1.T.ITEM22.T7.STAND.GOV.LEFT.DO,FILLER,9,1,7,TEST,f_22.jpg,368,257,STAND.GOV.LEFT.DO,PIC.FILLER.22,SOCALIGN.1,f_22
SOCALIGN.L9.SL1.T.ITEM17.T8.STAND.GOV.LEFT.DO,ITEM,9,1,8,TEST,i_17.jpg,321,308,STAND.GOV.LEFT.DO,PIC.ITEM.17,SOCALIGN.1,i_17
SOCALIGN.L9.SL1.T.ITEM07.T9.STAND.GOV.LEFT.DO,FILLER,9,1,9,TEST,f_07.jpg,429,321,STAND.GOV.LEFT.DO,PIC.FILLER.07,SOCALIGN.1,f_07
SOCALIGN.L9.SL1.T.ITEM15.T10.STAND.GOV.LEFT.DO,FILLER,9,1,10,TEST,f_15.jpg,419,361,STAND.GOV.LEFT.DO,PIC.FILLER.15,SOCALIGN.1,f_15
SOCALIGN.L9.SL1.T.ITEM04.T11.STAND.GOV.LEFT.DO,ITEM,9,1,11,TEST,i_04.jpg,330,348,STAND.GOV.LEFT.DO,PIC.ITEM.04,SOCALIGN.1,i_04
